['A1BG', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ADAMTS2', '2', '0', '0', '2', '0', '0', '0', '8.36643763246494e-05', '1\n']
['ADAMTS20', '1', '0', '0', '1', '140', '0', '140', '0.726655191010278', '1\n', 'ICGC_MB272']
['ADAMTS4', '1', '0', '0', '1', '1', '0', '1', '0.0182184663067098', '1\n']
['ADAMTS5', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ADAMTS7', '1', '0', '0', '1', '625', '0', '625', '0.996881680397618', '1\n']
['ADAMTS8', '1', '0', '0', '1', '1', '0', '1', '0.0182184663067098', '1\n']
['ADAMTSL1', '1', '0', '0', '1', '123', '0', '123', '0.680359815971307', '1\n', 'ICGC_MB230']
['ADAMTSL3', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ADAMTSL4', '2', '0', '0', '2', '142', '0', '142', '0.38003561193428', '1\n']
['ADAMTSL5', '1', '0', '0', '1', '18', '0', '18', '0.160277835299206', '1\n']
['ADAP2', '0', '0', '0', '0', '76', '0', '76', '1', '1\n']
['ADAR', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ADARB2', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ADAT1', '3', '0', '0', '3', '4', '0', '4', '2.6022683093875e-05', '1\n']
['ADCK1', '0', '0', '0', '0', '1', '0', '1', '1', '1\n']
['ADCK2', '1', '0', '0', '1', '57', '0', '57', '0.413355318784667', '1\n']
['ADCK3', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n', 'ICGC_MB303']
['ADCK4', '3', '0', '0', '3', '4', '0', '4', '2.6022683093875e-05', '1\n']
['ADCK5', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ADCY10', '2', '0', '0', '2', '25', '0', '25', '0.0252431009053942', '1\n']
['ADCY2', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n', '146199']
['ADCY4', '5', '0', '0', '5', '338', '0', '338', '0.207654747369235', '1\n']
['ADCY6', '2', '0', '0', '2', '0', '0', '0', '8.36643763246494e-05', '1\n']
['ADCY8', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ADCY9', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ADCYAP1', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ADD1', '0', '0', '0', '0', '2', '0', '2', '1', '1\n']
['ADGB', '3', '0', '0', '3', '61', '0', '61', '0.0210660597716559', '1\n']
['ADH1A', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ADH1B', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ADH5', '0', '0', '0', '0', '4', '0', '4', '1', '1\n']
['ADH6', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
